title,research_type
"IoT-Based Automated Drip Irrigation System for Rice Farming in Tarlac",technical
"Development of a Mobile Application for Crop Pest and Disease Identification Using CNN",technical
"Web-Based Student Portal with SMS Notification System for TAU",technical
"Geodetic Surveying and Mapping of Landslide Prone Areas in Camiling",technical
"Design and Evaluation of a Solar-Powered Hydroponics System",technical
"Performance Evaluation of a Biomass-Fired Crop Dryer",technical
"An Algorithm for Real-Time Facial Recognition in Smart Classrooms",technical
"Data Mining on Student Academic Performance Using Decision Trees",technical
"Development of an Automated Attendance System using RFID and GPS",technical
"Secure Blockchain-Based Grading System for Higher Education",technical
"Isolation and Characterization of Microorganisms in Local Compost",technical
"Vaccine Efficacy Testing against Newcastle Disease in Local Poultry Farms",technical
"Synthesis and Characterization of Biodegradable Plastic from Cassava Starch",technical
"Design of a Micro-Hydro Power Generation System for Remote Communities",technical
"A Machine Learning Approach to Predict Rice Yield based on Weather Data",technical
"Prevalence of Gastrointestinal Parasites in Backyard Swine in Tarlac",technical
"Efficacy of Alternative Wound Healing Ointments in Canine Models",technical
"Hematological and Biochemical Profiles of Local Breeds of Goats",technical
"Development of a Real-Time Soil NPK Sensor and Analyzer",technical
"Formulation and Sensory Evaluation of Cassava-Based Gluten-Free Cookies",technical
"Web-Based Library Management System with QR Code Authentication",technical
"GIS-Based Flood Hazard Mapping and Vulnerability Assessment",technical
"Optimization of Extraction Parameters for Antioxidants in Local Herbs",technical
"Design and Fabrication of a Low-Cost Mechanical Weeder",technical
"Classification of Philippine Mango Varieties Using Computer Vision",technical
"Development of a Mobile-Based Emergency Response App for TAU",technical
"Automated Water Quality Monitoring and Filtration System for Aquaponics",technical
"Efficacy of Essential Oils against Rice Weevil Infestations",technical
"Structural Integrity Analysis of Local Bamboo Species for Construction",technical
"Designing a Low-Cost Air Quality Monitoring Node using Raspberry Pi",technical
"Development of a Decentralized Patient Record Management System",technical
"Phytochemical Screening and Antibacterial Properties of Indigenous Plants",technical
"Development of an E-Commerce Platform for Local Agri-Coops",technical
"Implementation of a Deep Learning Model for Filipino Sign Language",technical
"An Automated Pesticide Sprayer Drone with GPS Navigation",technical
"Microbial Analysis of Street Foods in Camiling Public Market",technical
"Design of an Autonomous Lawn Mower using Ultrasonic Sensors",technical
